   Date        NH D14C   Tropics D14C        SH D14C
             (per mil)      (per mil)      (per mil)
 2007.5           52.9           54.2           57.5
 2008.5           49.4           49.6           54.1
 2009.5           45.8           46.5           50.5
 2010.5           41.6           43.4           46.4
 2011.5           36.5           40.3           41.3
 2012.5           29.9           35.0           35.0
 2013.5           24.9           30.0           30.0
 2014.5           19.9           25.0           25.0
 2015.5           14.9           20.0           20.0

